myposian_entry,meaning,reference,type
Afto kinika chertifikantiki andro po kimega boing boing boing boing,(unclear),(unclear),long text
Attila Karadopolis,father of Kiki Karadopolis,Season 4 Episode 22,proper noun
babasticki,"nonsense, bullshit, idiot","Season 2 Episode 19,
Season 3 Episode 18,
Season 3 Episode 19,
Season 4 Episode 19,
Season 5 Episode 1,
Season 5 Episode 2,
Season 5 Episode 5,
Season 5 Episode 15,
Season 5 Episode 17,
Season 7 Episode 24,
Season 8 Episode 1",word/expression
Balki Bartokomous,"main character, Larry’s cousin",multiple,proper noun
Bang-bong binki-ninki baklava?,"Want a big bite, booby?",Season 5 Episode 6,long text
Bartokomouki ekaniki!,(unclear;“Bartokomouki” is probably “Bortokomous” in the genitive case),Season 5 Episode 5,long text
bibbi babka,a dessert made with two patties of dough and cream in the middle,"Season 3 Episode 16,
Season 4 Episode 5,
Season 5 Episode 6",word/expression
Binki,Myposian goat,Season 8 Episode 3,proper noun
bitatatoutata ratatatouille,a wedding necklace,Season 7 Episode 24,word/expression
Bod bod dunu bad bad nahid tinker dni ur dai da,"If everyone knew
how to herd sheep,
there would be no one
to write poetry",Season 2 Episode 1,long text
boochi,a player in the Myposian game “boochi tag”,"Season 2 Episode 17,
Season 5 Episode 2,
Season 8 Episode 5",word/expression
Brektos,Myposian spiritual leader,Season 2 Episode 20,proper noun
chalkidikis,"a dish made with flour, eggs, honey, yeast and goat spleen",Season 4 Episode 14,word/expression
Chichi Karadopolis,mother of Kiki Karadopolis,Season 4 Episode 22,proper noun
Da hodi bisminihnih mahnik dadig dai,"Drink this bottle, cry a bit and let the milk drip down your chin.",Season 2 Episode 8,long text
dazo,(unclear),Season 3 Episode 18,word/expression
Depozipol Epopaloo,a young Myopsian man who was arranged to marry Mitchiboomba,Season 4 Episode 22,proper noun
diddly squatiki,(unclear),Season 7 Episode 24,word/expression
digda,the Myposian currency,"Season 2 Episode 3,
Season 2 Episode 4,
Season 3 Episode 4,
Season 5 Episode 2",word/expression
Dimbodega dimbodega Dabodega smack Bobedega dimbodega Bimbodega hack,a  Myposian counting rhyme,Season 2 Episode 6,long text
ding ding machmood,pig snout with saffron,"Season 2 Episode 14,
Season 2 Episode 20",word/expression
"epapepopokono
hodgi bodgi bam boom.
Bamba stiki ekta kiki
iki eke bakoom
Oh, baby
Eeni pini epapepopokono
hodgi bodgi bam boom.
Briber briber steka deta tiber
iki eke bakoom.
Oh, baby
Eeni pini epapepopokono
hodgi bodgi bam boom.
Elefday, ho hoo
ho ho hoo ho",The Myposan Litany of Truth,Season 5 Episode 2,long text
Eva,"Myposian fib fury, daughter of Vertash and Succotash",Season 5 Episode 1,proper noun
exterminiki,a curse that brings death to anything you touch,Season 8 Episode 3,word/expression
gabbugis,Myposian fib furies,Season 5 Episode 1,word/expression
Glinkey,one of three Myposian brothers who had a falling out due to jealousy,Season 3 Episode 21,proper noun
hok pok ponk pa konk konk,Myposian game that resembles baseball,Season 2 Episode 3,word/expression
"Hongi Bongi

Hey beegy
Yoomba conga neengy
Kongy fongy hongi bongi
Icky wicky oh yeah

Hongi bongi
Hongi bongi
Hongi bongi
Hongi bongi
Hongi bongi hongi bongi
Hongi bongi icky icky
Bong bong bong bong
bong bong bong bong
Bong bong bong bong
bong oh yeah",Myposian ritual of purification,Season 5 Episode 15,long text
"Iffi yodi vy zwicki, oh po sticki picki ticki.","If you let your hair down, you might be surprised by what you find in it.",Season 3 Episode 5,long text
